,Unnamed: 0,Organization/ City Agency/ Division Name,Borough,Interest Categories,Most volunteers in age group
101,101,Community Health Action of Staten Island,STATEN IS,Social services,0
102,102,Community Health Center Association of NYS,MANHATTAN,Health services;Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising;Child services,1
103,103,Compassion Queens Sp SDA,QUEENS,Health services;Social services;Advocacy and Justice;Environment and Climate change;Outreach and Advertising;Child services,0
104,104,Comprehensive Youth Development,MANHATTAN,Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
105,105,"Concrete Safaris, Inc.",MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
106,106,Coney Island Seaside Innovative Senior Center,BROOKLYN,Health services;Social services,2
107,107,Council of Peoples Organization,BROOKLYN,Health services;Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising;Child services,1
108,108,"Council on American - Islamic Relations, NY",QUEENS,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
109,109,CPC Nanshan Senior Center,QUEENS,Health services;Social services,2
110,110,Crossover B.C. Community Health Center,QUEENS,Social services;Advocacy and Justice;Food and Agriculture;Recreation and Leisure;Outreach and Advertising,1
111,111,Cru,MANHATTAN,Outreach and Advertising;Child services,1
112,112,"Cypress Hills Fulton Street Senior Citizens Center, Inc.",BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
113,113,"Dance to Unite, Inc.",MANHATTAN,Education;Recreation and Leisure;Outreach and Advertising;Child services,1
114,114,Dance/ NYC,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
115,115,Department of Education - Division of Family and Community Engagement,MANHATTAN,Education;Outreach and Advertising,1
116,116,Department of Social Services,MANHATTAN,Health services;Social services;Advocacy and Justice;Outreach and Advertising;Child services,1
117,117,"Diana H. Jones Innovative Senior Center - Riseboro Community Partnership, Inc.",BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,2
118,118,DOROT,MANHATTAN,Health services;Social services,1
119,119,DREAM,MANHATTAN,Education;Outreach and Advertising;Child services,1
120,120,Drew Gardens - Educational and Recreational,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
121,121,Dyckman Senior Center,MANHATTAN,Health services;Social services,2
122,122,"Earth Matter NY, Inc.",MANHATTAN,Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,0
123,123,"East Harlem Council for Human Services, Inc.",MANHATTAN,Health services;Social services;Outreach and Advertising;Child services,2
124,124,East Harlem Tutorial Program,MANHATTAN,Education;Outreach and Advertising,1
125,125,Ecumenical Community Development Organization,MANHATTAN,Social services;Education;Outreach and Advertising;Child services,2
126,126,Edible Schoolyard NYC,BROOKLYN,Food and Agriculture;Education;Environment and Climate change;Outreach and Advertising;Child services,1
127,127,Educational Alliance's Manny Cantor Center,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
128,128,El Puente,BROOKLYN,Advocacy and Justice;Education;Environment and Climate change;Outreach and Advertising;Child services,0
129,129,Elite Community Foundation,QUEENS,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,1
130,130,Elmcor's Golden Phoenix Club Two,QUEENS,Health services;Social services,2
131,131,Emergency Shelter Network - Subsidiary of New York Disaster Interfaith Services,MANHATTAN,Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising,1
132,132,Encore Community Services,MANHATTAN,Health services;Social services,0
133,133,"Espoir, Inc.",MANHATTAN,Advocacy and Justice;Child services,1
134,134,Every Day is a Miracle,BRONX,Social services;Advocacy and Justice;Food and Agriculture;Education;Environment and Climate change;Outreach and Advertising;Child services,0
135,135,Faith in New York,QUEENS,Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising;Child services,1
136,136,Family Care Certified Services A Division of Tri-Borough Health Systems,BROOKLYN,Health services;Social services,1
137,137,Family Services Network of New York,BROOKLYN,Advocacy and Justice;Outreach and Advertising;Child services,1
138,138,Family2Family Community Project,BRONX,Health services;Social services;Advocacy and Justice;Environment and Climate change;Recreation and Leisure,1
139,139,Far Rockaway/ Arverne Nonprofit Coalition (FRANC),QUEENS,Health services;Social services;Education;Outreach and Advertising;Child services,1
140,140,"Father's Alive In The Hood, Inc.",QUEENS,Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising;Child services,0
141,141,"Filter Addict, Inc.",MANHATTAN,Outreach and Advertising;Child services,1
142,142,Fire Department City of New York,BROOKLYN,Outreach and Advertising,0
143,143,Food Bank For New York City,MANHATTAN,Social services;Advocacy and Justice;Food and Agriculture,1
144,144,Footsteps,MANHATTAN,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
145,145,"For My People Empowerment, Inc.",,Outreach and Advertising,0
146,146,"Forestdale, Inc.",QUEENS,Social services;Advocacy and Justice;Outreach and Advertising;Child services,1
147,147,Fort Greene Albany Neighborhood Center,BROOKLYN,Health services;Social services,2
148,148,Fort Greene Council - Christopher Blenman Neighborhood Center,BROOKLYN,Health services;Social services,2
149,149,"Fort Greene Council, Inc. - Hugh Gilroy Neighborhood Senior Center",BROOKLYN,Health services;Social services,2
150,150,"Fort Greene Park Conservancy, Inc.",BROOKLYN,Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,1
151,151,Fort Greene Strategic Neighborhood Action Partnership,BROOKLYN,Social services;Education;Outreach and Advertising,1
152,152,Fort Independence Senior Center,BRONX,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
153,153,Foundation for a Drug Free World,QUEENS,Health services;Education;Outreach and Advertising;Child services,1
154,154,Frederick Douglass Senior Center - Social Club,MANHATTAN,Health services;Social services;Advocacy and Justice;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,2
155,155,Free Arts NYC,MANHATTAN,Education;Recreation and Leisure;Outreach and Advertising;Child services,0
156,156,Friends of Corlears Hook Park,MANHATTAN,Environment and Climate change,0
157,157,Friends of Gerritsen Beach Library,BROOKLYN,Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,2
158,158,Friends of MacDonald Park,QUEENS,Advocacy and Justice;Environment and Climate change;Recreation and Leisure,0
159,159,Friends of Mosholu Parkland,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
160,160,Friends of Tremont Park,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,0
161,161,Friends Shelter,MANHATTAN,Social services;Advocacy and Justice,1
162,162,GallopNYC,QUEENS,Health services;Social services;Outreach and Advertising;Child services,1
163,163,Garra (formerly Cidadão Global),,Social services;Advocacy and Justice;Recreation and Leisure;Child services,1
164,164,Gay Men's Health Crisis (GMHC),MANHATTAN,Health services;Social services;Advocacy and Justice;Recreation and Leisure;Outreach and Advertising,1
165,165,Generation Citizen,MANHATTAN,Education;Outreach and Advertising,1
166,166,Girl Scouts of Greater NY,MANHATTAN,Outreach and Advertising;Child services,1
167,167,Girls on the Run NYC,BROOKLYN,Outreach and Advertising;Child services,1
168,168,Glow Community Center,QUEENS,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,0
169,169,"God Bless You All, Inc.",QUEENS,Health services;Social services;Advocacy and Justice,1
170,170,God's Love We Deliver,MANHATTAN,Health services;Food and Agriculture,1
171,171,Goddard Riverside Community Center - Star Learning Center,MANHATTAN,Education;Outreach and Advertising;Child services,1
172,172,GOH Productions,MANHATTAN,Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
173,173,Good Shepherd Services,MANHATTAN,Social services;Advocacy and Justice;Outreach and Advertising;Child services,1
174,174,Gowanus Canal Conservancy,BROOKLYN,Environment and Climate change,0
175,175,Grand Street Settlement,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Outreach and Advertising;Child services,2
176,176,Great Kills Neighborhood Center,STATEN IS,Health services;Social services,2
177,177,Greater Flushing Chamber of Commmerce,QUEENS,Advocacy and Justice;Recreation and Leisure,0
178,178,Greenbelt Conservancy,STATEN IS,Education;Environment and Climate change;Outreach and Advertising,1
179,179,Greenpoint Reformed Church Hunger Program,BROOKLYN,Social services;Advocacy and Justice;Environment and Climate change,1
180,180,"Greenpoint Spartans, Inc.",BROOKLYN,Outreach and Advertising;Child services,1
181,181,Greenwich House Center on the Square,MANHATTAN,Health services;Social services,2
182,182,Greenwich House JCW Senior Center,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
183,183,GrowNYC,,Environment and Climate change,0
184,184,Grupo Juego y Lectura de Sunset Park,BROOKLYN,Education;Outreach and Advertising,0
185,185,Habitat for Humanity New York City,MANHATTAN,Social services;Advocacy and Justice;Recreation and Leisure,1
186,186,Hamilton - Madison House,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,2
187,187,HANAC - Angelo Petromelis Senior Center,QUEENS,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
188,188,HANAC - Ravenswood Senior Center,,Health services;Social services,2
189,189,"HANAC, Inc.",QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
190,190,HarborLAB,QUEENS,Education;Environment and Climate change;Outreach and Advertising;Child services,1
191,191,Harlem Dowling - West Side Center,MANHATTAN,Health services;Social services;Outreach and Advertising;Child services,1
192,192,Harlem Educational Activities Fund (HEAF),MANHATTAN,Education;Outreach and Advertising;Child services,1
193,193,HeartShare Human Services of NY,BROOKLYN,Health services;Social services;Advocacy and Justice;Outreach and Advertising;Child services,1
194,194,Hebrew Home at Riverdale,BRONX,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
195,195,Heights and Hills,BROOKLYN,Health services;Social services,0
196,196,Helene & BJ's Place,,Social services;Advocacy and Justice,1
197,197,Henry Street Settlement,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
198,198,"Highbridge Advisory Council Family Servicers, Inc.",BRONX,Education;Outreach and Advertising;Child services,1
199,199,Historic Districts Council,MANHATTAN,Advocacy and Justice;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,2
200,200,Holy Apostles Soup Kitchen,MANHATTAN,Health services;Social services;Advocacy and Justice;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,0
201,201,Homecrest Bensonhurst Neighborhood Senior Center,BROOKLYN,Health services;Social services,2
202,202,Hostos Community College,BRONX,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
203,203,House of Jacob Senior Center,BROOKLYN,Health services;Social services,2
204,204,Hudson Guild,MANHATTAN,Health services;Social services;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
205,205,Hunger Free America,MANHATTAN,Social services;Advocacy and Justice;Recreation and Leisure,1
206,206,HYPOTHEkids,MANHATTAN,Education;Outreach and Advertising;Child services,1
207,207,iCouldBe,MANHATTAN,Education;Outreach and Advertising;Child services,1
208,208,Imani House Adult Literacy Program,BROOKLYN,Education;Recreation and Leisure;Outreach and Advertising;Child services,1
209,209,iMentor,MANHATTAN,Education;Outreach and Advertising;Child services,1
210,210,Independence Neighborhood Center,BROOKLYN,Health services;Social services,2
211,211,Independence Plaza Senior Center,MANHATTAN,Health services;Social services;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
212,212,"India Home, Inc.",QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
213,213,"Innovations For Learning, Inc.",,Education;Outreach and Advertising,1
214,214,Institute for Family Health,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
215,215,International Rescue Committee,MANHATTAN,Advocacy and Justice,1
216,216,"Intrepid Sea, Air & Space Museum",,Social services;Education;Recreation and Leisure;Outreach and Advertising,2
217,217,IPRHE,BRONX,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
218,218,IPRHE Arturo Schomburg Senior Center,BRONX,Health services;Social services,1
219,219,Isabella a Member of MJHS System,MANHATTAN,Health services;Social services,1
220,220,Jacob A. Riis Neighborhood Settlement,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
221,221,Jamaica Estates Holliswood Vol Ambulance Corps,QUEENS,Health services;Social services;Outreach and Advertising,1
222,222,JASA,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,2
223,223,JASA CIAA - NORC,BROOKLYN,Health services;Social services,2
224,224,JASA Far Rockaway,QUEENS,Health services;Social services;Advocacy and Justice;Recreation and Leisure,2
225,225,JCC of Staten Island,STATEN IS,Health services;Social services;Education;Recreation and Leisure;Outreach and Advertising,2
226,226,Jewish Community Council of Greater Coney Island,BROOKLYN,Health services;Social services,2
227,227,John Paul II Friendship Center,MANHATTAN,Health services;Social services,2
228,228,Junior Achievement of New York,MANHATTAN,Social services;Education;Outreach and Advertising;Child services,0
229,229,"Junior Tennis Clinic, Inc.",BROOKLYN,Outreach and Advertising;Child services,1
230,230,KCS,QUEENS,Health services;Social services;Advocacy and Justice;Outreach and Advertising;Child services,2
231,231,Kew Gardens Community Center,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising,2
232,232,Kings Against Violence Initiative,BROOKLYN,Outreach and Advertising;Child services,1
233,233,Kingsbridge Heights Community Center,BRONX,Social services;Education;Outreach and Advertising;Child services,1
234,234,Kissena Synergy,QUEENS,Social services;Environment and Climate change;Outreach and Advertising;Child services,0
235,235,KittyKind,,Advocacy and Justice;Education;Outreach and Advertising,1
236,236,La Jornada,QUEENS,Health services;Social services;Advocacy and Justice;Food and Agriculture;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
237,237,Landmarks Preservation Commission,MANHATTAN,Outreach and Advertising,1
238,238,Lantern Community Services,MANHATTAN,Social services;Advocacy and Justice,1
239,239,"Latinas On the Verge of Excellence - L.O.V.E., Inc.",,Education;Outreach and Advertising;Child services,1
240,240,Lehman College - Office of International Programs & Community Engagement,BRONX,Social services;Education,1
241,241,Lenox Hill Hospital,MANHATTAN,Health services,1
242,242,Lenox Hill Neighborhood House,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
243,243,Let's Get Ready,MANHATTAN,Education;Outreach and Advertising,2
244,244,Lighthouse Guild International,MANHATTAN,Health services;Social services;Outreach and Advertising;Child services,1
245,245,"Literacy, Inc.",MANHATTAN,Education;Outreach and Advertising;Child services,1
246,246,Little Essentials,MANHATTAN,Outreach and Advertising;Child services,1
247,247,Little Sisters of the Assumption Family Health Service,MANHATTAN,Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
248,248,LiveOnNY,MANHATTAN,Health services,1
249,249,Long Island City Business Improvement District,QUEENS,Environment and Climate change,1
250,250,Long Island University,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising;Child services,1
251,251,Long Term Care Ombudsman Program for New York City,MANHATTAN,Health services;Social services;Advocacy and Justice;Recreation and Leisure,2
252,252,Lower East Side Ecology Center,,Advocacy and Justice;Education;Environment and Climate change;Recreation and Leisure;Outreach and Advertising,1
253,253,LSNC West 65th Street Center/NORC at Goddard Riverside Community Center,MANHATTAN,Health services;Social services,1
254,254,Macaulay Honors College,MANHATTAN,,1
255,255,Maimonides Medical Center,BROOKLYN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
256,256,Make - A - Wish Metro New York and Western New York,MANHATTAN,Health services;Social services;Outreach and Advertising;Child services,1
257,257,Make the Road New York,QUEENS,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,1
258,258,Mano a Mano - Mexican Culture Without Borders,MANHATTAN,Education;Recreation and Leisure;Outreach and Advertising,1
259,259,Marlene Meyerson JCC Manhattan,MANHATTAN,Health services;Social services;Advocacy and Justice;Education;Recreation and Leisure;Outreach and Advertising;Child services,2
260,260,Mayor's Office of Citywide Event Coordination and Management,MANHATTAN,Recreation and Leisure;Outreach and Advertising,1
261,261,Mayor's Office of Criminal Justice,MANHATTAN,Advocacy and Justice,1
